ageband,imc,height,weight,hasSportHistoric,hasWalkingHistoric,gender,avgalt,dist,altDiff,currSpd,avgSpd,accumSub,accumDesc,totDist,modal,load,diffic
1,21.798202394816204,183,73,1,1,0,250.4,5.647991,0.8000000000000114,1.0129733,1,5,0,5,0,1,1
1,21.798202394816204,183,73,1,1,0,251.10000000000002,5.416335,0.5999999999999943,1.0428272,1,10,0,10,0,1,1
1,21.798202394816204,183,73,1,1,0,251.3,4.9620123,-0.20000000000001705,0.8719394,0.6666667,10,4,14,0,1,1
1,21.798202394816204,183,73,1,1,0,250.64999999999998,4.4160957,-1.0999999999999943,0.87245417,0.5,10,8,18,0,1,1
1,21.798202394816204,183,73,1,1,0,250.45,3.621567,0.700000000000017,0.58420974,0.4,13,8,21,0,1,1
1,21.798202394816204,183,73,1,1,0,251.4,3.7880385,1.1999999999999886,0.5975925,0.33333334,16,8,24,0,1,1
1,21.798202394816204,183,73,1,1,0,252.6,3.8984106,1.1999999999999886,0.67016834,0.2857143,19,8,27,0,1,1
1,21.798202394816204,183,73,1,1,0,253.45,3.5640106,0.5,0.5605325,0.25,22,8,30,0,1,1
1,21.798202394816204,183,73,1,1,0,254.39999999999998,4.5714025,1.4000000000000057,0.6655358,0.22222222,26,8,34,0,1,1
1,21.798202394816204,183,73,1,1,0,256.6,4.901674,3.0000000000000284,0.7092872,0.2,30,8,38,0,1,1
1,21.798202394816204,183,73,1,1,0,259.4,6.473897,2.599999999999966,0.9954728,0.18181819,36,8,44,0,1,1
1,21.798202394816204,183,73,1,1,0,261.29999999999995,5.272087,1.1999999999999886,0.94091225,0.16666667,41,8,49,0,1,1
1,21.798202394816204,183,73,1,1,0,262,5.155061,0.20000000000004547,0.9980464,0.15384616,46,8,54,0,1,1
1,21.798202394816204,183,73,1,1,0,262.25,4.5236044,0.2999999999999545,1.0387094,0.21428572,50,8,58,0,1,1
1,21.798202394816204,183,73,1,1,0,262.6,5.027394,0.4000000000000341,1.1107706,0.26666668,55,8,63,0,1,1
1,21.798202394816204,183,73,1,1,0,262.5,4.9622636,-0.6000000000000227,0.972825,0.25,55,12,67,0,1,1
1,21.798202394816204,183,73,1,1,0,262.79999999999995,5.3221126,1.1999999999999886,0.9548097,0.23529412,60,12,72,0,1,1
1,21.798202394816204,183,73,1,1,0,263.9,4.8892245,1,0.8503211,0.22222222,64,12,76,0,1,1
1,21.798202394816204,183,73,1,1,0,264.4,4.472663,0,1.1576103,0.2631579,64,12,80,0,1,2
1,21.798202394816204,183,73,1,1,0,264.9,3.424,1,0.8477475,0.25,67,12,83,0,1,1
1,21.798202394816204,183,73,1,1,0,264.5,4.296329,-1.7999999999999545,0.81223166,0.23809524,67,16,87,0,1,0
1,21.798202394816204,183,73,1,1,0,262,3.6729064,-3.2000000000000455,0.657815,0.22727273,67,19,90,0,1,0
1,21.798202394816204,183,73,1,1,0,259.9,3.461597,-1,0,0.2173913,67,22,93,0,1,0
1,21.798202394816204,183,73,1,1,0,259.4,3.6551023,0,0,0.20833333,67,22,96,0,1,2
1,21.798202394816204,183,73,1,1,0,261.75,9.960254,4.7000000000000455,0.49464807,0.2,76,22,105,0,1,2
1,21.798202394816204,183,73,1,1,0,266.1,6.5884304,4,0.7762011,0.1923077,82,22,111,0,1,1
1,21.798202394816204,183,73,1,1,0,268.8,5.861939,1.3999999999999773,0.8971608,0.18518518,87,22,116,0,1,1
1,21.798202394816204,183,73,1,1,0,269.6,4.630037,0.19999999999998863,0.8477475,0.17857143,91,22,120,0,1,1
1,21.798202394816204,183,73,1,1,0,270.25,6.7141447,1.1000000000000227,1.1890084,0.20689656,97,22,126,0,1,1
1,21.798202394816204,183,73,1,1,0,271.5,6.826006,1.3999999999999773,1.009885,0.23333333,103,22,132,0,1,1
1,21.798202394816204,183,73,1,1,0,272.5,5.585716,0.6000000000000227,0.86988056,0.22580644,108,22,137,0,1,1
1,21.798202394816204,183,73,1,1,0,273.6,7.4748,1.599999999999966,1.1179767,0.25,115,22,144,0,1,1
1,21.798202394816204,183,73,1,1,0,274.95,5.9200635,1.1000000000000227,1.1879789,0.27272728,120,22,149,0,1,1
1,21.798202394816204,183,73,1,1,0,275.9,4.897205,0.8000000000000114,0.8317911,0.2647059,124,22,153,0,1,1
1,21.798202394816204,183,73,1,1,0,277,6.5887995,1.3999999999999773,1.1848905,0.2857143,130,22,159,0,1,1
1,21.798202394816204,183,73,1,1,0,278.9,5.853147,2.400000000000034,1.1308447,0.30555555,135,22,164,0,1,1
1,21.798202394816204,183,73,1,1,0,280.55,5.677741,0.8999999999999773,0.88944,0.2972973,140,22,169,0,1,1
1,21.798202394816204,183,73,1,1,0,281.45,6.098981,0.8999999999999773,0.93988276,0.28947368,146,22,175,0,1,1
1,21.798202394816204,183,73,1,1,0,283.6,6.011372,3.400000000000034,1.0170912,0.30769232,152,22,181,0,1,1
1,21.798202394816204,183,73,1,1,0,286,5.963117,1.3999999999999773,0.76950973,0.3,157,22,186,0,1,1
1,21.798202394816204,183,73,1,1,0,285.95,5.4121113,-1.5,0.71700805,0.29268292,157,27,191,0,1,1
1,21.798202394816204,183,73,1,1,0,285.15,6.1288166,-0.0999999999999659,1.1565808,0.30952382,157,33,197,0,1,1
